model,metric,Source,SS,df,MS,F,p,significant
RF_CFS,accuracy,Between Groups,0.014054113202877779,3,0.004684704400959259,2.2602520184134716,0.1206899529486678,False
RF_CFS,accuracy,Within Groups,0.033162350837302276,16,0.0020726469273313923,,,
RF_CFS,accuracy,Total,0.04721646404018005,19,,,,
RF_CFS,f1,Between Groups,0.02307677040736329,3,0.00769225680245443,3.150639659966753,0.053958411001671314,False
RF_CFS,f1,Within Groups,0.039063848018903446,16,0.0024414905011814654,,,
RF_CFS,f1,Total,0.06214061842626674,19,,,,
RF_CFS,precision,Between Groups,0.03527882763536237,3,0.011759609211787458,2.999447918572454,0.061574569611791974,False
RF_CFS,precision,Within Groups,0.06272945971942347,16,0.003920591232463967,,,
RF_CFS,precision,Total,0.09800828735478584,19,,,,
RF_CFS,recall,Between Groups,0.014054113202877779,3,0.004684704400959259,2.2602520184134716,0.1206899529486678,False
RF_CFS,recall,Within Groups,0.033162350837302276,16,0.0020726469273313923,,,
RF_CFS,recall,Total,0.04721646404018005,19,,,,
RF_CFS,auc,Between Groups,0.0757751098606701,3,0.025258369953556698,4.855674337012609,0.01374232942231135,True
RF_CFS,auc,Within Groups,0.08322920591613343,16,0.00520182536975834,,,
RF_CFS,auc,Total,0.15900431577680352,19,,,,
RF_PCA,accuracy,Between Groups,0.27623467917629757,3,0.09207822639209919,81.70385931690075,6.452592904437893e-10,True
RF_PCA,accuracy,Within Groups,0.01803160382619575,16,0.0011269752391372344,,,
RF_PCA,accuracy,Total,0.2942662830024933,19,,,,
RF_PCA,f1,Between Groups,0.24184109910555643,3,0.08061369970185214,59.52760010037113,6.717167821967962e-09,True
RF_PCA,f1,Within Groups,0.02166758265165796,16,0.0013542239157286226,,,
RF_PCA,f1,Total,0.26350868175721437,19,,,,
RF_PCA,precision,Between Groups,0.19526775024284512,3,0.06508925008094837,34.669425992572975,3.1290625035484965e-07,True
RF_PCA,precision,Within Groups,0.030038801378432768,16,0.001877425086152048,,,
RF_PCA,precision,Total,0.22530655162127788,19,,,,
RF_PCA,recall,Between Groups,0.27623467917629757,3,0.09207822639209919,81.70385931690075,6.452592904437893e-10,True
RF_PCA,recall,Within Groups,0.01803160382619575,16,0.0011269752391372344,,,
RF_PCA,recall,Total,0.2942662830024933,19,,,,
RF_PCA,auc,Between Groups,0.3419339601235073,3,0.11397798670783577,25.132264621630203,2.705880532194449e-06,True
RF_PCA,auc,Within Groups,0.07256201598943221,16,0.004535125999339513,,,
RF_PCA,auc,Total,0.41449597611293953,19,,,,
xgboost_CFS,accuracy,Between Groups,0.02264922400894769,3,0.007549741336315897,3.085871181165825,0.057085276435300925,False
xgboost_CFS,accuracy,Within Groups,0.03914481658155877,16,0.0024465510363474233,,,
xgboost_CFS,accuracy,Total,0.06179404059050646,19,,,,
xgboost_CFS,f1,Between Groups,0.025177015339217144,3,0.008392338446405715,2.455939987979326,0.10054439677007365,False
xgboost_CFS,f1,Within Groups,0.05467455059965488,16,0.00341715941247843,,,
xgboost_CFS,f1,Total,0.07985156593887202,19,,,,
xgboost_CFS,precision,Between Groups,0.03191287208270935,3,0.010637624027569783,2.271381684362705,0.11943260163029712,False
xgboost_CFS,precision,Within Groups,0.07493323804311255,16,0.004683327377694535,,,
xgboost_CFS,precision,Total,0.1068461101258219,19,,,,
xgboost_CFS,recall,Between Groups,0.02264922400894769,3,0.007549741336315897,3.085871181165825,0.057085276435300925,False
xgboost_CFS,recall,Within Groups,0.03914481658155877,16,0.0024465510363474233,,,
xgboost_CFS,recall,Total,0.06179404059050646,19,,,,
xgboost_CFS,auc,Between Groups,0.160804616418202,3,0.053601538806067335,4.531292278547797,0.01754304538219642,True
xgboost_CFS,auc,Within Groups,0.18926711590803222,16,0.011829194744252014,,,
xgboost_CFS,auc,Total,0.35007173232623423,19,,,,
xgboost_PCA,accuracy,Between Groups,0.19466164116902213,3,0.06488721372300738,24.90579723117887,2.870328222659424e-06,True
xgboost_PCA,accuracy,Within Groups,0.04168489006521061,16,0.002605305629075663,,,
xgboost_PCA,accuracy,Total,0.23634653123423274,19,,,,
xgboost_PCA,f1,Between Groups,0.12684768274403346,3,0.04228256091467782,17.08668128647088,3.0396016510891855e-05,True
xgboost_PCA,f1,Within Groups,0.03959346834487455,16,0.0024745917715546595,,,
xgboost_PCA,f1,Total,0.166441151088908,19,,,,
xgboost_PCA,precision,Between Groups,0.05457577705038007,3,0.018191925683460022,6.697834625650479,0.0038727841351058334,True
xgboost_PCA,precision,Within Groups,0.04345744963912007,16,0.0027160906024450045,,,
xgboost_PCA,precision,Total,0.09803322668950014,19,,,,
xgboost_PCA,recall,Between Groups,0.19466164116902213,3,0.06488721372300738,24.90579723117887,2.870328222659424e-06,True
xgboost_PCA,recall,Within Groups,0.04168489006521061,16,0.002605305629075663,,,
xgboost_PCA,recall,Total,0.23634653123423274,19,,,,
xgboost_PCA,auc,Between Groups,0.36088441914816694,3,0.12029480638272232,15.82298274793324,4.795894565867709e-05,True
xgboost_PCA,auc,Within Groups,0.12164058653068802,16,0.007602536658168001,,,
xgboost_PCA,auc,Total,0.4825250056788549,19,,,,
