Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7945,0.7920,0.8477,0.8107,0.8142,0.8118
10,0.8325,0.8333,0.8968,0.8336,0.8695,0.8531
20,0.8488,0.8427,0.9030,0.8708,0.8744,0.8680
30,0.8403,0.8500,0.9045,0.8714,0.8625,0.8657
40,0.8459,0.8262,0.9203,0.8865,0.8899,0.8738
50,0.8243,0.8456,0.9313,0.9068,0.8887,0.8793
60,0.8261,0.8544,0.9246,0.9122,0.8923,0.8819
70,0.8447,0.8672,0.9096,0.9016,0.9002,0.8846
80,0.8438,0.8577,0.9193,0.9193,0.8879,0.8856
90,0.8613,0.8609,0.9194,0.9008,0.8864,0.8858
100,0.8413,0.8544,0.9233,0.8859,0.8767,0.8763
110,0.8472,0.8616,0.9177,0.8819,0.8845,0.8786
120,0.8384,0.8640,0.9201,0.8982,0.8831,0.8808
130,0.8383,0.8576,0.9256,0.9060,0.8943,0.8844
