Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7114,0.7162,0.6774,0.7127,0.7145,0.7064
10,0.8060,0.8204,0.8532,0.7978,0.7842,0.8123
20,0.8346,0.8448,0.8632,0.8508,0.8324,0.8452
30,0.8433,0.8692,0.8788,0.8693,0.8231,0.8567
40,0.8557,0.8492,0.9077,0.8915,0.8592,0.8727
50,0.8308,0.8514,0.9232,0.9112,0.8713,0.8776
60,0.8358,0.8636,0.9177,0.9174,0.8619,0.8793
70,0.8532,0.8725,0.9155,0.9088,0.8686,0.8837
80,0.8445,0.8681,0.9244,0.9223,0.8727,0.8864
90,0.8694,0.8692,0.9266,0.9088,0.8834,0.8915
100,0.8420,0.8636,0.9277,0.8977,0.8713,0.8805
110,0.8420,0.8692,0.9221,0.8927,0.8740,0.8800
120,0.8346,0.8714,0.9255,0.9051,0.8767,0.8826
130,0.8383,0.8670,0.9288,0.9125,0.8914,0.8876
