Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6376,0.6433,0.5843,0.6444,0.5913,0.6202
10,0.7672,0.7068,0.6987,0.6879,0.7021,0.7125
20,0.7827,0.7430,0.7287,0.7802,0.8104,0.7690
30,0.8268,0.7804,0.7546,0.8278,0.8289,0.8037
40,0.8400,0.8136,0.7405,0.8395,0.8438,0.8155
50,0.8579,0.8308,0.7762,0.8839,0.8305,0.8359
60,0.8055,0.7781,0.7951,0.8696,0.8671,0.8231
70,0.8395,0.8037,0.7864,0.8889,0.8519,0.8341
80,0.8509,0.8080,0.7828,0.8899,0.8779,0.8419
90,0.8525,0.8197,0.7810,0.8782,0.8760,0.8415
100,0.8759,0.8236,0.7885,0.8909,0.8935,0.8545
110,0.8766,0.8169,0.7775,0.9008,0.8895,0.8523
120,0.8746,0.8236,0.7864,0.9053,0.8788,0.8537
130,0.8793,0.8306,0.8000,0.8852,0.8704,0.8531
