Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC,Num_Subjects
1,3,0.8,0.7828571428571428,0.7694444444444445,0.8,0.48039215686274506,40
1,10,0.8,0.7828571428571428,0.7694444444444445,0.8,0.7941176470588235,40
1,20,0.8,0.8,0.8,0.8,0.803921568627451,40
1,30,0.85,0.8584415584415584,0.871875,0.85,0.9068627450980393,40
1,40,0.875,0.8788748564867968,0.8841991341991342,0.875,0.8872549019607843,40
1,50,0.825,0.8304247990815155,0.8370129870129869,0.825,0.9019607843137255,40
1,60,0.85,0.85,0.85,0.85,0.8627450980392156,40
1,70,0.875,0.8702239789196311,0.8671428571428571,0.875,0.9068627450980393,40
1,80,0.85,0.85,0.85,0.85,0.9264705882352942,40
1,90,0.875,0.8788748564867968,0.8841991341991342,0.875,0.9411764705882353,40
1,100,0.9,0.9056277056277058,0.9171875,0.9,0.9313725490196079,40
1,110,0.925,0.927324913892078,0.9313852813852813,0.925,0.9362745098039216,40
1,120,0.925,0.927324913892078,0.9313852813852813,0.925,0.9411764705882353,40
1,130,0.925,0.9221343873517786,0.9214285714285715,0.925,0.9411764705882353,40
2,3,0.775,0.7422535211267605,0.7121621621621622,0.775,0.4362745098039216,40
2,10,0.85,0.8371428571428572,0.8305555555555555,0.85,0.7892156862745099,40
2,20,0.775,0.7819747416762342,0.7898268398268399,0.775,0.823529411764706,40
2,30,0.825,0.8183135704874835,0.8128571428571428,0.825,0.8872549019607844,40
2,40,0.875,0.8702239789196311,0.8671428571428571,0.875,0.9411764705882353,40
2,50,0.875,0.8788748564867968,0.8841991341991342,0.875,0.9215686274509803,40
2,60,0.825,0.8304247990815155,0.8370129870129869,0.825,0.8970588235294118,40
2,70,0.85,0.8584415584415584,0.871875,0.85,0.9362745098039216,40
2,80,0.9,0.9,0.9,0.9,0.9411764705882353,40
2,90,0.9,0.9,0.9,0.9,0.9313725490196079,40
2,100,0.9,0.9,0.9,0.9,0.9411764705882353,40
2,110,0.9,0.9,0.9,0.9,0.9411764705882353,40
2,120,0.9,0.9,0.9,0.9,0.946078431372549,40
2,130,0.9,0.9,0.9,0.9,0.9411764705882353,40
3,3,0.75,0.75,0.75,0.75,0.35064935064935066,40
3,10,0.775,0.7807692307692309,0.7875,0.775,0.6277056277056277,40
3,20,0.775,0.7680252583237658,0.7620098039215686,0.775,0.7316017316017316,40
3,30,0.85,0.8397058823529411,0.8357142857142857,0.85,0.7619047619047619,40
3,40,0.8,0.7862745098039216,0.7771428571428571,0.8,0.8225108225108226,40
3,50,0.825,0.8195752009184846,0.8154411764705882,0.825,0.8008658008658008,40
3,60,0.875,0.8711251435132032,0.8688725490196078,0.875,0.8701298701298702,40
3,70,0.8,0.8,0.8,0.8,0.8961038961038961,40
3,80,0.825,0.8195752009184846,0.8154411764705882,0.825,0.8787878787878788,40
3,90,0.8,0.8,0.8,0.8,0.8874458874458874,40
3,100,0.825,0.8195752009184846,0.8154411764705882,0.825,0.8917748917748918,40
3,110,0.8,0.7862745098039216,0.7771428571428571,0.8,0.8917748917748918,40
3,120,0.825,0.8195752009184846,0.8154411764705882,0.825,0.8961038961038961,40
3,130,0.825,0.8049407114624506,0.7979166666666667,0.825,0.8961038961038961,40
4,3,0.775,0.7680252583237658,0.7620098039215686,0.775,0.6233766233766234,40
4,10,0.775,0.7204225352112676,0.6730263157894736,0.775,0.5757575757575757,40
4,20,0.85,0.8,0.873076923076923,0.85,0.7012987012987013,40
4,30,0.85,0.8242857142857142,0.8301801801801801,0.85,0.8658008658008658,40
4,40,0.875,0.8446791862284819,0.8914473684210528,0.875,0.8874458874458875,40
4,50,0.925,0.9164031620553359,0.93125,0.925,0.9264069264069263,40
4,60,0.9,0.8931372549019608,0.8942857142857144,0.9,0.9437229437229437,40
4,70,0.9,0.8931372549019608,0.8942857142857144,0.9,0.9870129870129871,40
4,80,0.875,0.8711251435132032,0.8688725490196078,0.875,0.9740259740259741,40
4,90,0.875,0.8711251435132032,0.8688725490196078,0.875,0.9740259740259741,40
4,100,0.925,0.926923076923077,0.93046875,0.925,0.9913419913419914,40
4,110,0.95,0.95,0.95,0.95,0.9956709956709957,40
4,120,0.95,0.95,0.95,0.95,0.9956709956709957,40
4,130,0.95,0.95,0.95,0.95,0.9870129870129871,40
5,3,0.675,0.6833333333333333,0.6921875,0.675,0.4415584415584416,40
5,10,0.775,0.7680252583237658,0.7620098039215686,0.775,0.8051948051948052,40
5,20,0.9,0.8931372549019608,0.8942857142857144,0.9,0.974025974025974,40
5,30,0.875,0.8711251435132032,0.8688725490196078,0.875,0.948051948051948,40
5,40,0.9,0.9,0.9,0.9,0.9307359307359307,40
5,50,0.875,0.8711251435132032,0.8688725490196078,0.875,0.948051948051948,40
5,60,0.925,0.926923076923077,0.93046875,0.925,0.961038961038961,40
5,70,0.9,0.9,0.9,0.9,0.9610389610389611,40
5,80,0.95,0.95,0.95,0.95,0.9783549783549784,40
5,90,0.925,0.926923076923077,0.93046875,0.925,0.9740259740259741,40
5,100,0.95,0.95,0.95,0.95,0.9783549783549784,40
5,110,0.925,0.926923076923077,0.93046875,0.925,0.9696969696969696,40
5,120,0.925,0.926923076923077,0.93046875,0.925,0.9696969696969697,40
5,130,0.925,0.9226750861079219,0.9223039215686274,0.925,0.9696969696969696,40
