Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7739,0.7502,0.7616,0.7752,0.7214,0.7564
10,0.8460,0.8797,0.9043,0.7930,0.8425,0.8531
20,0.8789,0.8805,0.9317,0.8589,0.8920,0.8884
30,0.9038,0.8979,0.9400,0.8730,0.9118,0.9053
40,0.9030,0.9112,0.9476,0.8768,0.9217,0.9120
50,0.9070,0.8888,0.9461,0.8833,0.9275,0.9105
60,0.9022,0.8763,0.9446,0.8956,0.9283,0.9094
70,0.9014,0.8739,0.9446,0.8692,0.9308,0.9040
80,0.9174,0.8855,0.9415,0.8655,0.9431,0.9106
90,0.9262,0.8880,0.9506,0.8655,0.9406,0.9142
100,0.9230,0.8797,0.9476,0.8739,0.9398,0.9128
110,0.9342,0.8730,0.9506,0.8683,0.9365,0.9125
120,0.9326,0.8946,0.9453,0.8890,0.9472,0.9218
130,0.9391,0.9004,0.9400,0.8993,0.9382,0.9234
