Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.8098,0.7967,0.8175,0.8147,0.7825,0.8042
10,0.8574,0.8933,0.9130,0.8270,0.8690,0.8720
20,0.8801,0.8922,0.9369,0.8737,0.9068,0.8979
30,0.9003,0.9022,0.9445,0.8831,0.9214,0.9103
40,0.9006,0.9110,0.9508,0.8849,0.9291,0.9153
50,0.9032,0.8952,0.9496,0.8932,0.9321,0.9147
60,0.9009,0.8802,0.9495,0.8997,0.9342,0.9129
70,0.9031,0.8790,0.9482,0.8820,0.9347,0.9094
80,0.9146,0.8893,0.9475,0.8808,0.9458,0.9156
90,0.9239,0.8910,0.9545,0.8794,0.9431,0.9184
100,0.9191,0.8839,0.9517,0.8850,0.9424,0.9164
110,0.9298,0.8797,0.9539,0.8814,0.9398,0.9169
120,0.9292,0.9002,0.9507,0.8984,0.9492,0.9255
130,0.9306,0.9062,0.9464,0.9041,0.9408,0.9256
