Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.8579,0.8624,0.8951,0.8709,0.8722,0.8717
10,0.8709,0.9146,0.9241,0.8747,0.9104,0.8989
20,0.8814,0.9091,0.9442,0.8936,0.9325,0.9122
30,0.8974,0.9074,0.9511,0.8961,0.9376,0.9179
40,0.8985,0.9108,0.9557,0.8949,0.9416,0.9203
50,0.9000,0.9032,0.9550,0.9066,0.9389,0.9207
60,0.8997,0.8844,0.9580,0.9044,0.9439,0.9181
70,0.9050,0.8846,0.9537,0.8995,0.9403,0.9166
80,0.9124,0.8935,0.9584,0.9030,0.9497,0.9234
90,0.9221,0.8944,0.9611,0.8986,0.9464,0.9245
100,0.9164,0.8885,0.9584,0.8996,0.9460,0.9218
110,0.9278,0.8875,0.9591,0.8993,0.9444,0.9236
120,0.9272,0.9070,0.9604,0.9115,0.9519,0.9316
130,0.9323,0.9136,0.9579,0.9099,0.9445,0.9316
