Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5425,0.5983,0.6436,0.5639,0.6396,0.5976
10,0.6695,0.6651,0.7510,0.6941,0.7184,0.6996
20,0.6857,0.7443,0.7731,0.7336,0.6906,0.7254
30,0.7094,0.7500,0.7631,0.7587,0.7092,0.7380
40,0.7180,0.7824,0.8203,0.7228,0.7115,0.7510
50,0.7761,0.7624,0.8072,0.7121,0.7729,0.7661
60,0.7815,0.7872,0.8263,0.7539,0.7659,0.7830
70,0.7901,0.7681,0.8223,0.7706,0.7520,0.7806
80,0.8009,0.7910,0.8353,0.7575,0.7358,0.7841
90,0.8052,0.7796,0.8213,0.7706,0.7509,0.7855
100,0.8149,0.7834,0.8353,0.7766,0.7613,0.7943
110,0.8095,0.7681,0.8072,0.7754,0.7636,0.7848
120,0.8181,0.7739,0.8293,0.7957,0.7555,0.7945
130,0.8192,0.7691,0.8323,0.7826,0.7532,0.7913
