Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.4475,0.6440,0.6454,0.5031,0.6654,0.5811
10,0.5776,0.7163,0.7565,0.7259,0.7330,0.7019
20,0.5710,0.7670,0.7752,0.7506,0.7028,0.7133
30,0.6052,0.7714,0.7469,0.8127,0.7338,0.7340
40,0.6388,0.7828,0.8347,0.7527,0.7308,0.7480
50,0.7096,0.7578,0.8104,0.7562,0.7660,0.7600
60,0.7263,0.7998,0.8246,0.7842,0.7685,0.7807
70,0.7245,0.8152,0.8413,0.8277,0.7313,0.7880
80,0.7468,0.8111,0.8567,0.8249,0.7283,0.7936
90,0.7511,0.8093,0.8466,0.8350,0.7345,0.7953
100,0.7715,0.8216,0.8529,0.8486,0.7367,0.8062
110,0.7871,0.8083,0.8309,0.8498,0.7544,0.8061
120,0.7802,0.8014,0.8440,0.8650,0.7391,0.8060
130,0.7726,0.8185,0.8544,0.8587,0.7315,0.8072
