Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5824,0.7000,0.7200,0.6004,0.6819,0.6569
10,0.6559,0.7238,0.7748,0.7384,0.7247,0.7235
20,0.6679,0.7695,0.7686,0.7485,0.7049,0.7319
30,0.6847,0.7632,0.7553,0.7696,0.7125,0.7370
40,0.6958,0.7831,0.8129,0.7220,0.7156,0.7459
50,0.7620,0.7581,0.8029,0.7178,0.7661,0.7614
60,0.7704,0.7875,0.8202,0.7562,0.7625,0.7794
70,0.7774,0.7738,0.8192,0.7685,0.7407,0.7759
80,0.7898,0.7956,0.8353,0.7549,0.7257,0.7803
90,0.7950,0.7844,0.8237,0.7672,0.7373,0.7815
100,0.8062,0.7901,0.8359,0.7749,0.7485,0.7911
110,0.7999,0.7809,0.7989,0.7702,0.7515,0.7803
120,0.8099,0.7843,0.8222,0.7942,0.7457,0.7912
130,0.8110,0.7793,0.8232,0.7846,0.7399,0.7876
