accuracy,f1,precision,recall,auc,num_subjects,num_positive,num_negative,data_type,fold,model,file_path
0.925,0.927324913892078,0.9313852813852813,0.925,0.9411764705882353,40,6,34,fimo,1,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/fimo/xgboost/PCA_0.95/fold1/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.9,0.9,0.9,0.9,0.946078431372549,40,6,34,fimo,2,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/fimo/xgboost/PCA_0.95/fold2/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.825,0.8195752009184846,0.8154411764705882,0.825,0.8961038961038961,40,7,33,fimo,3,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/fimo/xgboost/PCA_0.95/fold3/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.95,0.95,0.95,0.95,0.9956709956709957,40,7,33,fimo,4,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/fimo/xgboost/PCA_0.95/fold4/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.925,0.926923076923077,0.93046875,0.925,0.9696969696969697,40,7,33,fimo,5,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/fimo/xgboost/PCA_0.95/fold5/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.7954545454545454,0.7853855005753739,0.7755681818181818,0.7954545454545454,0.8461538461538461,44,5,39,deep,1,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/deep/xgboost/PCA_0.95/fold1/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.8863636363636364,0.8807697225418744,0.8767045454545456,0.8863636363636364,0.9333333333333333,44,5,39,deep,2,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/deep/xgboost/PCA_0.95/fold2/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9487179487179488,43,4,39,deep,3,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/deep/xgboost/PCA_0.95/fold3/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.9302325581395349,0.9166070902897515,0.9353374929098128,0.9302325581395349,0.9421052631578948,43,5,38,deep,4,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/deep/xgboost/PCA_0.95/fold4/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9069767441860465,0.9157894736842105,43,5,38,deep,5,xgboost_PCA,/home/b/bhavyareddyseerapu/B2AI_Project4-main/model/features/deep/xgboost/PCA_0.95/fold5/features_120/PCA_classification_report_120_features_SMOTE_GRIDSEARCHFalse.txt
