Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.4631,0.6286,0.5367,0.5893,0.5701,0.5576
10,0.6747,0.7700,0.8065,0.7718,0.7467,0.7539
20,0.7465,0.8207,0.8449,0.8446,0.7520,0.8018
30,0.7090,0.8693,0.8674,0.8629,0.7764,0.8170
40,0.7340,0.8668,0.8866,0.8763,0.8173,0.8362
50,0.7682,0.8844,0.9077,0.8993,0.8384,0.8596
60,0.7822,0.8830,0.9197,0.9144,0.8400,0.8679
70,0.8179,0.9189,0.9012,0.9186,0.8459,0.8805
80,0.8317,0.9179,0.9189,0.9176,0.8432,0.8859
90,0.8472,0.9330,0.9215,0.9191,0.8323,0.8906
100,0.8232,0.9228,0.9315,0.9151,0.8294,0.8844
110,0.8240,0.9213,0.9314,0.9180,0.8309,0.8852
120,0.8186,0.9267,0.9353,0.9315,0.8368,0.8898
130,0.8201,0.9282,0.9424,0.9322,0.8668,0.8980
