Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7481,0.7471,0.7451,0.7508,0.7559,0.7494
10,0.8181,0.8263,0.8710,0.8130,0.8152,0.8287
20,0.8412,0.8437,0.8792,0.8591,0.8490,0.8545
30,0.8418,0.8550,0.8895,0.8703,0.8394,0.8592
40,0.8505,0.8346,0.9130,0.8887,0.8712,0.8716
50,0.8275,0.8483,0.9267,0.9085,0.8786,0.8779
60,0.8308,0.8583,0.9208,0.9138,0.8737,0.8795
70,0.8487,0.8696,0.9122,0.9036,0.8804,0.8829
80,0.8442,0.8619,0.9214,0.9205,0.8792,0.8854
90,0.8650,0.8644,0.9221,0.9026,0.8848,0.8878
100,0.8417,0.8583,0.9252,0.8880,0.8738,0.8774
110,0.8445,0.8649,0.9197,0.8852,0.8787,0.8786
120,0.8365,0.8672,0.9223,0.9005,0.8797,0.8812
130,0.8383,0.8615,0.9270,0.9078,0.8928,0.8855
