Feature Count,Accuracy,F1 Score,Precision,Recall,AUC
3,0.7064,0.7494,0.8118,0.7064,0.5576
10,0.8123,0.8287,0.8531,0.8123,0.7539
20,0.8452,0.8545,0.8680,0.8452,0.8018
30,0.8567,0.8592,0.8657,0.8567,0.8170
40,0.8727,0.8716,0.8738,0.8727,0.8362
50,0.8776,0.8779,0.8793,0.8776,0.8596
60,0.8793,0.8795,0.8819,0.8793,0.8679
70,0.8837,0.8829,0.8846,0.8837,0.8805
80,0.8864,0.8854,0.8856,0.8864,0.8859
90,0.8915,0.8878,0.8858,0.8915,0.8906
100,0.8805,0.8774,0.8763,0.8805,0.8844
110,0.8800,0.8786,0.8786,0.8800,0.8852
120,0.8826,0.8812,0.8808,0.8826,0.8898
130,0.8876,0.8855,0.8844,0.8876,0.8980
