Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5003,0.5055,0.4440,0.5536,0.4524,0.4912
10,0.7341,0.6622,0.6197,0.6210,0.7105,0.6695
20,0.7581,0.7252,0.6721,0.7283,0.8175,0.7402
30,0.8702,0.7753,0.7503,0.8587,0.8645,0.8238
40,0.8565,0.8093,0.7904,0.8580,0.8770,0.8382
50,0.8742,0.8120,0.7559,0.8814,0.9054,0.8458
60,0.8516,0.7790,0.8240,0.8670,0.9220,0.8487
70,0.8732,0.8065,0.8539,0.8837,0.9242,0.8683
80,0.8924,0.8073,0.8397,0.8849,0.9403,0.8729
90,0.8951,0.8128,0.8434,0.8926,0.9408,0.8769
100,0.9017,0.8045,0.8537,0.9045,0.9501,0.8829
110,0.9065,0.8095,0.8591,0.8914,0.9492,0.8831
120,0.9120,0.8185,0.8649,0.8964,0.9465,0.8877
130,0.9084,0.8198,0.8654,0.8777,0.9470,0.8837
