Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6952,0.6737,0.6287,0.6991,0.6242,0.6642
10,0.7751,0.7353,0.7147,0.6900,0.7215,0.7273
20,0.7895,0.7726,0.7382,0.7766,0.8086,0.7771
30,0.8379,0.7839,0.7537,0.8258,0.8275,0.8057
40,0.8423,0.8194,0.7362,0.8362,0.8424,0.8153
50,0.8625,0.8358,0.7750,0.8826,0.8287,0.8369
60,0.8036,0.7945,0.7933,0.8699,0.8676,0.8258
70,0.8387,0.8128,0.7882,0.8881,0.8507,0.8357
80,0.8499,0.8145,0.7832,0.8899,0.8771,0.8429
90,0.8529,0.8259,0.7854,0.8811,0.8754,0.8441
100,0.8762,0.8297,0.7897,0.8920,0.8929,0.8561
110,0.8755,0.8252,0.7803,0.9033,0.8894,0.8547
120,0.8737,0.8297,0.7882,0.9077,0.8783,0.8555
130,0.8775,0.8391,0.7983,0.8884,0.8695,0.8546
