Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5986,0.6203,0.5550,0.6101,0.5692,0.5906
10,0.7606,0.6879,0.6870,0.6858,0.6897,0.7022
20,0.7770,0.7256,0.7213,0.7844,0.8128,0.7642
30,0.8192,0.7773,0.7555,0.8303,0.8308,0.8026
40,0.8380,0.8091,0.7457,0.8463,0.8462,0.8171
50,0.8545,0.8270,0.7775,0.8876,0.8333,0.8360
60,0.8075,0.7674,0.7971,0.8693,0.8667,0.8216
70,0.8404,0.7972,0.7848,0.8899,0.8538,0.8332
80,0.8521,0.8032,0.7824,0.8899,0.8795,0.8414
90,0.8521,0.8151,0.7775,0.8761,0.8769,0.8396
100,0.8756,0.8191,0.7873,0.8899,0.8949,0.8533
110,0.8779,0.8111,0.7751,0.8991,0.8897,0.8506
120,0.8756,0.8191,0.7848,0.9037,0.8795,0.8525
130,0.8826,0.8250,0.8020,0.8830,0.8718,0.8529
