Feature Count,Accuracy,F1 Score,Precision,Recall,AUC
3,0.5906,0.6202,0.6642,0.5906,0.4912
10,0.7022,0.7125,0.7273,0.7022,0.6695
20,0.7642,0.7690,0.7771,0.7642,0.7402
30,0.8026,0.8037,0.8057,0.8026,0.8238
40,0.8171,0.8155,0.8153,0.8171,0.8382
50,0.8360,0.8359,0.8369,0.8360,0.8458
60,0.8216,0.8231,0.8258,0.8216,0.8487
70,0.8332,0.8341,0.8357,0.8332,0.8683
80,0.8414,0.8419,0.8429,0.8414,0.8729
90,0.8396,0.8415,0.8441,0.8396,0.8769
100,0.8533,0.8545,0.8561,0.8533,0.8829
110,0.8506,0.8523,0.8547,0.8506,0.8831
120,0.8525,0.8537,0.8555,0.8525,0.8877
130,0.8529,0.8531,0.8546,0.8529,0.8837
