comparison,group1,group2,metric,t_statistic,p_value,significant,effect_size,mean_diff,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n,model_type,feature_selection
data_type,fimo,deep,accuracy,-3.958876086638675,0.0005044403115855711,True,-1.25190654081523,-0.05685440176758305,0.8192639518799311,0.8761183536475141,0.05843441676520056,0.026651977228631298,20,20,,
data_type,fimo,rp,accuracy,3.711794641592887,0.0006684234901618786,True,1.1737725274241884,0.07366771702414054,0.8192639518799311,0.7455962348557905,0.05843441676520056,0.06680889990988453,20,20,,
data_type,fimo,reg,accuracy,-6.771782880789521,3.1681618537945126e-07,True,-2.1414257723431374,-0.09710097693249065,0.8192639518799311,0.9163649288124217,0.05843441676520056,0.02641192400338068,20,20,,
data_type,deep,rp,accuracy,8.115141551987813,1.8647147705700175e-08,True,2.566233083895521,0.1305221187917236,0.8761183536475141,0.7455962348557905,0.026651977228631298,0.06680889990988453,20,20,,
data_type,deep,reg,accuracy,-4.7968408011281145,2.4996313168045477e-05,True,-1.516894250479163,-0.040246575164907594,0.8761183536475141,0.9163649288124217,0.026651977228631298,0.02641192400338068,20,20,,
data_type,rp,reg,accuracy,-10.630545060249807,1.0107135286471372e-10,True,-3.361673515944128,-0.1707686939566312,0.7455962348557905,0.9163649288124217,0.06680889990988453,0.02641192400338068,20,20,,
data_type,fimo,deep,f1,-3.801596838690294,0.000804383407287781,True,-1.2021704755957048,-0.06029382737869948,0.8122868857036056,0.8725807130823051,0.06543520444030486,0.027369868687844502,20,20,,
data_type,fimo,rp,f1,3.533614162117462,0.0011136955591090677,True,1.1174269124518657,0.07893882966474286,0.8122868857036056,0.7333480560388628,0.06543520444030486,0.07549312721796896,20,20,,
data_type,fimo,reg,f1,-6.607784923678626,6.104013797302625e-07,True,-2.0895650647346335,-0.10448583990503801,0.8122868857036056,0.9167727256086436,0.06543520444030486,0.026813433094267584,20,20,,
data_type,deep,rp,f1,7.754124181698247,5.601226278783916e-08,True,2.452069367395578,0.13923265704344234,0.8725807130823051,0.7333480560388628,0.027369868687844502,0.07549312721796896,20,20,,
data_type,deep,reg,f1,-5.158048361286521,8.103840918205048e-06,True,-1.631118110296448,-0.04419201252633853,0.8725807130823051,0.9167727256086436,0.027369868687844502,0.026813433094267584,20,20,,
data_type,rp,reg,f1,-10.239224192514845,3.5108634409090005e-10,True,-3.2379269921445313,-0.18342466956978087,0.7333480560388628,0.9167727256086436,0.07549312721796896,0.026813433094267584,20,20,,
data_type,fimo,deep,precision,-3.6068255673768324,0.001294068022105911,True,-1.1405783915839898,-0.05918157072218544,0.8128457557275217,0.8720273264497072,0.067275171932245,0.029302591625824152,20,20,,
data_type,fimo,rp,precision,3.5484852455935627,0.0010815779969858452,True,1.1221295619577627,0.08383008483082721,0.8128457557275217,0.7290156708966945,0.067275171932245,0.08146224291144648,20,20,,
data_type,fimo,reg,precision,-6.492665781550947,7.211744833336208e-07,True,-2.053161195593823,-0.10636921206884009,0.8128457557275217,0.9192149677963618,0.067275171932245,0.029018817273028547,20,20,,
data_type,deep,rp,precision,7.387681748900454,1.3088627615654034e-07,True,2.3361900954981567,0.14301165555301265,0.8720273264497072,0.7290156708966945,0.029302591625824152,0.08146224291144648,20,20,,
data_type,deep,reg,precision,-5.117114298757807,9.205832075629156e-06,True,-1.6181736231489994,-0.04718764134665465,0.8720273264497072,0.9192149677963618,0.029302591625824152,0.029018817273028547,20,20,,
data_type,rp,reg,precision,-9.836162454527456,7.555196209076328e-10,True,-3.1104676791739143,-0.1901992968996673,0.7290156708966945,0.9192149677963618,0.08146224291144648,0.029018817273028547,20,20,,
data_type,fimo,deep,recall,-3.958876086638675,0.0005044403115855711,True,-1.25190654081523,-0.05685440176758305,0.8192639518799311,0.8761183536475141,0.05843441676520056,0.026651977228631298,20,20,,
data_type,fimo,rp,recall,3.711794641592887,0.0006684234901618786,True,1.1737725274241884,0.07366771702414054,0.8192639518799311,0.7455962348557905,0.05843441676520056,0.06680889990988453,20,20,,
data_type,fimo,reg,recall,-6.771782880789521,3.1681618537945126e-07,True,-2.1414257723431374,-0.09710097693249065,0.8192639518799311,0.9163649288124217,0.05843441676520056,0.02641192400338068,20,20,,
data_type,deep,rp,recall,8.115141551987813,1.8647147705700175e-08,True,2.566233083895521,0.1305221187917236,0.8761183536475141,0.7455962348557905,0.026651977228631298,0.06680889990988453,20,20,,
data_type,deep,reg,recall,-4.7968408011281145,2.4996313168045477e-05,True,-1.516894250479163,-0.040246575164907594,0.8761183536475141,0.9163649288124217,0.026651977228631298,0.02641192400338068,20,20,,
