Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6491,0.5893,0.5452,0.6090,0.5636,0.5912
10,0.7462,0.8439,0.7723,0.7024,0.7752,0.7680
20,0.8372,0.8368,0.9172,0.8171,0.8907,0.8598
30,0.8437,0.8515,0.9316,0.8330,0.9180,0.8756
40,0.8442,0.8861,0.9399,0.8183,0.9206,0.8818
50,0.8729,0.8782,0.9490,0.8559,0.9353,0.8983
60,0.9094,0.8421,0.9647,0.8474,0.9508,0.9029
70,0.9140,0.8595,0.9692,0.8364,0.9550,0.9068
80,0.9314,0.8752,0.9707,0.8455,0.9588,0.9163
90,0.9257,0.8814,0.9776,0.8464,0.9575,0.9177
100,0.9260,0.8726,0.9773,0.8523,0.9604,0.9177
110,0.9332,0.8755,0.9739,0.8606,0.9650,0.9216
120,0.9506,0.8846,0.9760,0.8836,0.9663,0.9322
130,0.9496,0.8988,0.9768,0.8790,0.9650,0.9339
