Feature Count,Average Accuracy,Average F1 Score,Average Precision,Average Recall,Average AUC
3,0.7293828953214736,0.7603822370010465,0.8003954472565684,0.7293828953214736,0.5363707623318644
10,0.8284967401797049,0.8391449409403522,0.855014112609646,0.8284967401797049,0.7758853067592159
20,0.8480665033141245,0.854418395677196,0.8645094245864924,0.8480665033141245,0.8122624425536081
30,0.8646305676968629,0.8637485471068583,0.8668094244307085,0.8646305676968629,0.8166066594145681
40,0.8686395992305485,0.865982311004984,0.8687253829386844,0.8686395992305485,0.8398634001770843
50,0.8759339374423408,0.8738536647440757,0.8754632337805397,0.8759339374423408,0.8703056500956899
60,0.8840648023433706,0.8798109513481702,0.8800338077510765,0.8840648023433706,0.879304296289811
70,0.886392950714629,0.8824154810941247,0.8820629605238581,0.886392950714629,0.8915265059195775
80,0.883415280410269,0.8783717891290518,0.8768841230598179,0.883415280410269,0.8856335924778962
90,0.8883809844224182,0.8828243309827369,0.8806128756410129,0.8883809844224182,0.8929189957803816
100,0.887464187970324,0.8828167465001254,0.8811457642073515,0.887464187970324,0.892426735968742
110,0.8857643920885281,0.8796967238172583,0.8772731887570405,0.8857643920885281,0.8925958630052803
120,0.8882252680432167,0.8830791033111612,0.8812740548856155,0.8882252680432167,0.8923584045355863
130,0.8876487331560634,0.8827511094689019,0.8805976520943378,0.8876487331560634,0.8914415422776021
