Accuracy Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7251243781094527,0.738359201773836,0.7241379310344828,0.7287299630086314,0.7305630026809652,0.7293828953214736
10,0.8059701492537313,0.843680709534368,0.8654060066740823,0.8298397040690506,0.7975871313672922,0.8284967401797049
20,0.8308457711442786,0.8547671840354767,0.8731924360400445,0.8397040690505548,0.8418230563002681,0.8480665033141245
30,0.8445273631840796,0.8680709534368071,0.8976640711902113,0.8643649815043156,0.8485254691689008,0.8646305676968629
40,0.8383084577114428,0.8614190687361419,0.92880978865406,0.8594327990135635,0.8552278820375335,0.8686395992305485
50,0.8445273631840796,0.8614190687361419,0.9232480533926585,0.8791615289765722,0.871313672922252,0.8759339374423408
60,0.8532338308457711,0.8669623059866962,0.9254727474972191,0.8939580764488286,0.8806970509383378,0.8840648023433706
70,0.8569651741293532,0.8669623059866962,0.914349276974416,0.906288532675709,0.8873994638069705,0.886392950714629
80,0.8544776119402985,0.852549889135255,0.9121245828698554,0.903822441430333,0.8941018766756033,0.883415280410269
90,0.8669154228855721,0.8547671840354767,0.9132369299221357,0.9075215782983971,0.8994638069705094,0.8883809844224182
100,0.8681592039800995,0.8536585365853658,0.917686318131257,0.905055487053021,0.8927613941018767,0.887464187970324
110,0.8631840796019901,0.8492239467849224,0.917686318131257,0.9099876695437731,0.8887399463806971,0.8857643920885281
120,0.8669154228855721,0.8547671840354767,0.9154616240266963,0.9112207151664612,0.8927613941018767,0.8882252680432167
130,0.8582089552238806,0.852549889135255,0.9199110122358176,0.9161528976572133,0.8914209115281502,0.8876487331560634

F1 Score Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7525535169537381,0.7503454147689264,0.7754318925899955,0.7560723287568245,0.7675080319357478,0.7603822370010465
10,0.8181125026209947,0.8406633247281103,0.8753894300358754,0.836561056864785,0.8249983904519955,0.8391449409403522
20,0.8397442584746408,0.844656356247634,0.884684239082923,0.8470304324658647,0.8559766921149167,0.854418395677196
30,0.8401804796484437,0.8503214657926479,0.903805078653537,0.8649085742788301,0.8595271371608335,0.8637485471068583
40,0.8367383437620488,0.8352527922455912,0.9303935124538113,0.8610851912331567,0.8664417153303122,0.865982311004984
50,0.8434023419549471,0.8419100611964698,0.9263008349493923,0.8776401452565186,0.8800149403630507,0.8738536647440757
60,0.8424739680037178,0.8494715591500365,0.9277059789051408,0.8896547580040182,0.8897484926779375,0.8798109513481702
70,0.8496715063879243,0.853306377983566,0.914095406305218,0.8999910419762454,0.8950130728176695,0.8824154810941247
80,0.8504089289509431,0.8317923051130439,0.9107833884333735,0.8989327947874213,0.8999415283604776,0.8783717891290518
90,0.8617029331264325,0.8369788833616342,0.9086253220066998,0.902575518903732,0.9042389975151862,0.8828243309827369
100,0.8626135197030721,0.8361631686055341,0.917686318131257,0.8999775327411648,0.8976431933195991,0.8828167465001254
110,0.855789124104496,0.8294011003700413,0.9150770363475802,0.904191867680701,0.8940244905834729,0.8796967238172583
120,0.8609266805136659,0.8386524414553403,0.91159162237629,0.9057508600636751,0.8984739121468344,0.8830791033111612
130,0.8546288898890341,0.8361891199508417,0.9162446948828009,0.9114440793479096,0.8952487632739236,0.8827511094689019

Precision Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7840590259860603,0.7635833079070239,0.843839640873205,0.7915980826381204,0.8188971788784335,0.8003954472565684
10,0.8325129570364497,0.837965488302823,0.8877099270555125,0.8446273374112355,0.8722548532422092,0.855014112609646
20,0.8504513800026895,0.8382710189272398,0.9003695252553746,0.8563411599709206,0.8771140387762373,0.8645094245864924
30,0.8361863649326748,0.8457546699631151,0.9118571989175132,0.865466485673309,0.8747824026669303,0.8668094244307085
40,0.8352122702889816,0.8304306597613317,0.9322725817785689,0.8628611419240272,0.8828502609405128,0.8687253829386844
50,0.8423039200164808,0.8356396990543331,0.9303069714692959,0.8762642706033443,0.8928013077592444,0.8754632337805397
60,0.8338499667221909,0.8445102793466283,0.9304729943806586,0.8868783414561495,0.9044574568497553,0.8800338077510765
70,0.8435924121684925,0.8478263389463958,0.9138458149124787,0.8979733397026946,0.9070768968892293,0.8820629605238581
80,0.8467365544084301,0.822932017424543,0.9095489270551108,0.8965342814599274,0.9086688349510778,0.8768841230598179
90,0.8573352711602317,0.8289563358522504,0.9051904640274605,0.9004355985621936,0.9111467086029287,0.8806128756410129
100,0.8580435014056379,0.8279385836027034,0.917686318131257,0.8976625557307621,0.9043978621663972,0.8811457642073515
110,0.8498457167713345,0.8198238331207995,0.9129351371405146,0.9024416865434726,0.9013195702090818,0.8772731887570405
120,0.8560271345603941,0.830833536652394,0.9086370407428893,0.9040330664677009,0.9068394960046988,0.8812740548856155
130,0.8513896297849984,0.8279307303131294,0.9135435497767913,0.9099800372979098,0.9001443132988604,0.8805976520943378

Recall Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.7251243781094527,0.738359201773836,0.7241379310344828,0.7287299630086314,0.7305630026809652,0.7293828953214736
10,0.8059701492537313,0.843680709534368,0.8654060066740823,0.8298397040690506,0.7975871313672922,0.8284967401797049
20,0.8308457711442786,0.8547671840354767,0.8731924360400445,0.8397040690505548,0.8418230563002681,0.8480665033141245
30,0.8445273631840796,0.8680709534368071,0.8976640711902113,0.8643649815043156,0.8485254691689008,0.8646305676968629
40,0.8383084577114428,0.8614190687361419,0.92880978865406,0.8594327990135635,0.8552278820375335,0.8686395992305485
50,0.8445273631840796,0.8614190687361419,0.9232480533926585,0.8791615289765722,0.871313672922252,0.8759339374423408
60,0.8532338308457711,0.8669623059866962,0.9254727474972191,0.8939580764488286,0.8806970509383378,0.8840648023433706
70,0.8569651741293532,0.8669623059866962,0.914349276974416,0.906288532675709,0.8873994638069705,0.886392950714629
80,0.8544776119402985,0.852549889135255,0.9121245828698554,0.903822441430333,0.8941018766756033,0.883415280410269
90,0.8669154228855721,0.8547671840354767,0.9132369299221357,0.9075215782983971,0.8994638069705094,0.8883809844224182
100,0.8681592039800995,0.8536585365853658,0.917686318131257,0.905055487053021,0.8927613941018767,0.887464187970324
110,0.8631840796019901,0.8492239467849224,0.917686318131257,0.9099876695437731,0.8887399463806971,0.8857643920885281
120,0.8669154228855721,0.8547671840354767,0.9154616240266963,0.9112207151664612,0.8927613941018767,0.8882252680432167
130,0.8582089552238806,0.852549889135255,0.9199110122358176,0.9161528976572133,0.8914209115281502,0.8876487331560634

AUC Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.4319888861748901,0.5573249059073802,0.5488671912029576,0.5817752596789424,0.5618975686951517,0.5363707623318644
10,0.6918432462139716,0.8134255850106366,0.8322510822510822,0.7707945501146634,0.7711120702057258,0.7758853067592159
20,0.7522746702491452,0.8388203649157256,0.8808338863083388,0.8143868878996358,0.7749964033951948,0.8122624425536081
30,0.7351154127992183,0.829927589592538,0.8925648560685057,0.824551463644948,0.8008739749676306,0.8166066594145681
40,0.7446949804592087,0.8619037391588938,0.9136727019938699,0.8444354512343181,0.834610128039131,0.8398634001770843
50,0.8101337322911577,0.8789273441335297,0.9205137927765665,0.8851072440307567,0.8568461372464394,0.8703056500956899
60,0.8203468490473865,0.883943912616593,0.933421809334218,0.901989747740456,0.8568191627104014,0.879304296289811
70,0.8577949438202248,0.9057641957126493,0.9183492906120645,0.9134021313908,0.8623219680621492,0.8915265059195775
80,0.849459574987787,0.9037442726231386,0.9238079438809367,0.9087953595035748,0.842360811394044,0.8856335924778962
90,0.8625122129946262,0.921826419571265,0.9278762599930483,0.9144610818831783,0.8379190044597898,0.8929189957803816
100,0.8518640083048363,0.9077892325315005,0.9408869719088697,0.9228112774854984,0.8387821896130053,0.892426735968742
110,0.854543234000977,0.9068431926035019,0.9434701551489872,0.9227573182247403,0.8353654150481946,0.8925958630052803
120,0.8541615779189057,0.9038107511045655,0.9378772079502006,0.9314042897612302,0.8345381959430297,0.8923584045355863
130,0.8355214948705423,0.9056312387497953,0.9488893102031789,0.9331849453662485,0.8339807221982449,0.8914415422776021
