Accuracy Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6314553990610329,0.6282306163021869,0.5501222493887531,0.6284403669724771,0.5871794871794872,0.6050856237807876
10,0.7887323943661971,0.6878727634194831,0.6919315403422983,0.7018348623853211,0.6871794871794872,0.7115102095385574
20,0.7746478873239436,0.7415506958250497,0.7310513447432763,0.7775229357798165,0.8307692307692308,0.7711084188882634
30,0.7793427230046949,0.7833001988071571,0.7603911980440098,0.8394495412844036,0.8025641025641026,0.7930095527408737
40,0.812206572769953,0.8190854870775348,0.784841075794621,0.8325688073394495,0.8256410256410256,0.8148685937245167
50,0.8544600938967136,0.8369781312127237,0.7897310513447433,0.8486238532110092,0.8333333333333334,0.8326252925997046
60,0.8380281690140845,0.827037773359841,0.7970660146699267,0.8669724770642202,0.8564102564102564,0.8371029381036657
70,0.8544600938967136,0.8429423459244533,0.7603911980440098,0.8807339449541285,0.8384615384615385,0.8353978242561688
80,0.8591549295774648,0.8548707753479126,0.7677261613691931,0.8738532110091743,0.8461538461538461,0.8403517846915181
90,0.8591549295774648,0.8489065606361829,0.7750611246943765,0.8830275229357798,0.8358974358974359,0.840409514748248
100,0.8497652582159625,0.831013916500994,0.7701711491442543,0.8807339449541285,0.8435897435897436,0.8350548024810166
110,0.852112676056338,0.8389662027833003,0.7750611246943765,0.8944954128440367,0.8589743589743589,0.843921955070482
120,0.8661971830985915,0.8469184890656064,0.7799511002444988,0.8830275229357798,0.8512820512820513,0.8454752693253056
130,0.8544600938967136,0.8449304174950298,0.7603911980440098,0.8830275229357798,0.8435897435897436,0.8372797951922554

F1 Score Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6562463249333698,0.6374195342470597,0.5747358670525471,0.6581960365446604,0.5967333422830805,0.6246662210121434
10,0.7876248946671481,0.7084872919606197,0.7001313823313872,0.700461017080772,0.6971794956471817,0.7187768163374217
20,0.7757883587013092,0.7554147659583583,0.735750313144228,0.7748951857070402,0.830165374322377,0.7744027995666626
30,0.7825785682369609,0.784463666568545,0.7594669081585328,0.8371547668614474,0.7983775196938941,0.7924082859038759
40,0.812206572769953,0.8200568225480515,0.7728392116847004,0.8279913156439772,0.8223087948840457,0.8110805435061454
50,0.8551966483279289,0.8363738557767233,0.7791642799449909,0.8432189312821037,0.8324335938549137,0.8292774618373322
60,0.826165135170766,0.8291453461116517,0.7827753571562948,0.862970789653174,0.8553678064316361,0.8312848869047045
70,0.8494491292323229,0.8437855932010556,0.7520736230741504,0.8771462252062939,0.8336258732413552,0.8312160887910356
80,0.854305608934506,0.851716777450637,0.7590858566526635,0.8704044158961474,0.8425641025641026,0.8356153522996113
90,0.8524436133726447,0.8477705479283111,0.7704226761364069,0.8791826454559976,0.8334313483423493,0.836650166247142
100,0.8415580303980509,0.8319212078745535,0.7643872789417377,0.8764755216162029,0.8389075915511534,0.8306499260763397
110,0.8445544489624871,0.838064521004132,0.7723698497494975,0.8913216607594138,0.8565695226869953,0.8405760006325051
120,0.8602757374218255,0.8471963021057601,0.7723125109864647,0.8791826454559976,0.8457984259964457,0.8409531243932987
130,0.8475250671517329,0.8437645097158981,0.7575244051679428,0.8791826454559976,0.8381901734629008,0.8332373601908944

Precision Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6866020950527992,0.6473295209479143,0.6069668164244991,0.7029257675823132,0.607608104382298,0.6502864608779648
10,0.7865544001107382,0.7414389851367983,0.7102412836559671,0.6991098755646241,0.7112297722217961,0.7297148633379849
20,0.7769631345396281,0.7773053141207851,0.7412989139128168,0.7724837002505102,0.8296125093997435,0.7795327144446969
30,0.7861293303401427,0.785686883722789,0.758580734361516,0.8352645253367922,0.7956828128477116,0.7922688573217903
40,0.812206572769953,0.8210958227662025,0.767292191672034,0.8247740697156307,0.8202841069579138,0.8091305527763468
50,0.8559814531159845,0.8358020610826358,0.7740814179502733,0.8402065473504787,0.8316498316498316,0.8275442622298407
60,0.8212566409636941,0.8316256237085011,0.7786622772049183,0.8608268642672312,0.8545442302080761,0.8293831272704842
70,0.8463357261432314,0.8447017821284782,0.7462775242844174,0.8755082837651645,0.8319198959975658,0.8289486424637715
80,0.8513928877130185,0.8496503110855831,0.7533867350814977,0.868543420887269,0.8409825468648997,0.8327911803264536
90,0.8492829472279946,0.8467707236049563,0.7668084551143508,0.8776625063944052,0.8318158662529522,0.8344680997189318
100,0.8377171449486525,0.8328988024473404,0.7600610032180192,0.8749135208302,0.8373984639356807,0.8285977870759785
110,0.8409054985712547,0.8372367057779337,0.7700428514349182,0.8901897032630975,0.8553107300119934,0.8387370978118396
120,0.8575481634473356,0.847482387230018,0.7673983011715361,0.8776625063944052,0.8450690335305721,0.8390320783547734
130,0.8440647528156188,0.8427330699601836,0.7550037415801356,0.8776625063944052,0.8369170655954815,0.831276227269165

Recall Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6314553990610329,0.6282306163021869,0.5501222493887531,0.6284403669724771,0.5871794871794872,0.6050856237807876
10,0.7887323943661971,0.6878727634194831,0.6919315403422983,0.7018348623853211,0.6871794871794872,0.7115102095385574
20,0.7746478873239436,0.7415506958250497,0.7310513447432763,0.7775229357798165,0.8307692307692308,0.7711084188882634
30,0.7793427230046949,0.7833001988071571,0.7603911980440098,0.8394495412844036,0.8025641025641026,0.7930095527408737
40,0.812206572769953,0.8190854870775348,0.784841075794621,0.8325688073394495,0.8256410256410256,0.8148685937245167
50,0.8544600938967136,0.8369781312127237,0.7897310513447433,0.8486238532110092,0.8333333333333334,0.8326252925997046
60,0.8380281690140845,0.827037773359841,0.7970660146699267,0.8669724770642202,0.8564102564102564,0.8371029381036657
70,0.8544600938967136,0.8429423459244533,0.7603911980440098,0.8807339449541285,0.8384615384615385,0.8353978242561688
80,0.8591549295774648,0.8548707753479126,0.7677261613691931,0.8738532110091743,0.8461538461538461,0.8403517846915181
90,0.8591549295774648,0.8489065606361829,0.7750611246943765,0.8830275229357798,0.8358974358974359,0.840409514748248
100,0.8497652582159625,0.831013916500994,0.7701711491442543,0.8807339449541285,0.8435897435897436,0.8350548024810166
110,0.852112676056338,0.8389662027833003,0.7750611246943765,0.8944954128440367,0.8589743589743589,0.843921955070482
120,0.8661971830985915,0.8469184890656064,0.7799511002444988,0.8830275229357798,0.8512820512820513,0.8454752693253056
130,0.8544600938967136,0.8449304174950298,0.7603911980440098,0.8830275229357798,0.8435897435897436,0.8372797951922554

AUC Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5056015037593985,0.48107671996479384,0.4280318497345855,0.5667613636363636,0.47484410430839,0.4912631082807063
10,0.7789285714285713,0.672876631949538,0.6432557506465225,0.6577380952380953,0.7269168083900228,0.6959431715305501
20,0.7791729323308271,0.7427509657229475,0.6830679188784536,0.7730654761904762,0.8375141723356009,0.7631142930916611
30,0.8390601503759397,0.7762701090411227,0.7548659316727916,0.8505140692640693,0.856859410430839,0.8155139341569525
40,0.8624436090225565,0.8052906948315486,0.800428746427113,0.8457115800865801,0.8757794784580499,0.8379308217651695
50,0.884360902255639,0.8078822551464475,0.7482645977950184,0.8461174242424242,0.8915816326530612,0.8356413624185182
60,0.8920676691729323,0.8240550584323505,0.8123043419082618,0.8588000541125541,0.9223356009070294,0.8619125449066256
70,0.8954511278195488,0.8231137841670333,0.8352899142507145,0.8683373917748919,0.9140802154195011,0.867254486686338
80,0.8914661654135339,0.840692386680358,0.8242139648836261,0.864752435064935,0.920670351473923,0.8683590607032752
90,0.8929511278195489,0.8295437875898489,0.8253028446985163,0.883979301948052,0.9117417800453516,0.8687037684202636
100,0.895375939849624,0.8284191482079115,0.8307132162787532,0.8719223484848485,0.9235048185941043,0.8699870942830483
110,0.895375939849624,0.824458461688915,0.8389138423846467,0.8723281926406926,0.9314767573696145,0.8725106387866987
120,0.8991353383458647,0.832135347904748,0.8553150945964338,0.8710430194805195,0.9226544784580499,0.8760566557571232
130,0.9011278195488722,0.8354603686861277,0.8417721518987341,0.8666294642857143,0.9274022108843537,0.8744784030607604
