Accuracy Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.8203688853247795,0.7883817427385892,0.8261199696279423,0.8005644402634055,0.7741137675185491,0.8019097610946531
10,0.8540497193263833,0.8771784232365145,0.9164768413059985,0.825964252116651,0.8590272052761748,0.8665392882523444
20,0.9053728949478749,0.891286307053942,0.9415337889141989,0.8673565380997178,0.9134377576257213,0.903797457328291
30,0.9117882919005613,0.9186721991701244,0.9536826119969628,0.8842897460018815,0.9134377576257213,0.9163741213390504
40,0.9206094627105053,0.9195020746887966,0.9438116932422171,0.8871119473189087,0.9266281945589447,0.9195326745038745
50,0.9190056134723336,0.9103734439834025,0.9422930903568717,0.8880526810912511,0.9183841714756801,0.9156218000759078
60,0.9278267842822775,0.8962655601659751,0.9445709946848899,0.8993414863593603,0.9208573784006595,0.9177724407786325
70,0.9270248596631917,0.8829875518672199,0.9179954441913439,0.8946378174976481,0.9134377576257213,0.907216686169025
80,0.9198075380914194,0.8863070539419087,0.9187547456340167,0.8842897460018815,0.9332234130255564,0.9084764993389566
90,0.917401764234162,0.8846473029045643,0.9271070615034168,0.883349012229539,0.9258037922506183,0.9076617866244602
100,0.9165998396150762,0.8904564315352697,0.9240698557327259,0.8908748824082785,0.921681780708986,0.9087365580000674
110,0.921411387329591,0.891286307053942,0.9263477600607442,0.8936970837253058,0.9299258037922506,0.9125336683923667
120,0.9262229350441058,0.8887966804979253,0.9286256643887624,0.8984007525870179,0.9332234130255564,0.9150538891086736
130,0.9230152365677626,0.8954356846473029,0.9271070615034168,0.8871119473189087,0.9299258037922506,0.9125191467659283

F1 Score Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.8385592402838766,0.8196324887389773,0.8558041040488152,0.8295994432490037,0.8175572381076351,0.8322305028856617
10,0.8636428892702629,0.8869138184943028,0.9214560049409825,0.846661456596454,0.8798168942579392,0.8796982127119882
20,0.9014859236710389,0.8973868992294591,0.9426616127011463,0.8791715454631932,0.9216524170318207,0.9084716796193316
30,0.9067921325839119,0.9190339982236447,0.9535481337925249,0.8923411968858014,0.9228648614658993,0.9189160645903565
40,0.9140960059201605,0.9203829215079188,0.9453309631503478,0.8943700551016301,0.9319640141692845,0.9212287919698683
50,0.9098057927580374,0.9115440276706347,0.9426215986358216,0.8966016182800624,0.9248637954769707,0.9170873665643053
60,0.9221186698694634,0.8964975624799596,0.9462093122137983,0.9048853641859136,0.9272691717007157,0.9193960160899701
70,0.923468904213849,0.8810722239554326,0.9242209717338907,0.901412051428188,0.9197328257053357,0.9099813954073392
80,0.9176821302349755,0.8833149719457924,0.9247637278593603,0.8949446388979476,0.936623657680053,0.9114658253236257
90,0.9138005422843929,0.8810177389700277,0.9326408637634583,0.8931986375109494,0.9302814574956622,0.9101878480048982
100,0.9139930043938659,0.8872932246507262,0.930963266270279,0.8990263021040351,0.926263709149162,0.9115079013136137
110,0.9185732728291995,0.8878656388854218,0.9323615779270541,0.8999504663853014,0.9329385750923403,0.9143379062238635
120,0.9220443290701809,0.8855855462363433,0.9351054702940622,0.9045647279635397,0.935540983185152,0.9165682113498554
130,0.9198529548510148,0.8949601772403822,0.9329211309519836,0.8973380286646117,0.9334939617630186,0.9157132506942022

Precision Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.8603223001728669,0.8590612045200396,0.891321776674952,0.8673576341551522,0.8771383604029936,0.871040255185201
10,0.8748581406755309,0.899562277109312,0.9274584666406765,0.8727723993131231,0.9111233387990436,0.8971549245075373
20,0.8982908689970344,0.9049546389150752,0.9439191799746615,0.8945496355142166,0.9346012712544822,0.9152631189310941
30,0.903161703711059,0.9194056095011118,0.9534169025288973,0.9026531065478961,0.9389750680991463,0.9235224780776221
40,0.9106102657524627,0.9213247960271065,0.9471179750919779,0.903553601391766,0.940109527614865,0.9245432331756357
50,0.9059563494814361,0.9127946665208736,0.9429611172749092,0.908076919197055,0.9345586707254969,0.9208695446399542
60,0.9194999422746014,0.8967314827579872,0.9481726437232316,0.9119412981291288,0.9371213838670664,0.9226933501504032
70,0.9211406536405863,0.8792339293962945,0.9322802141777895,0.910250417273914,0.9285387382709325,0.9142887905519034
80,0.9159110255469244,0.8805228587909123,0.9325137592442813,0.9101113404593663,0.941372063225523,0.9160862094534015
90,0.9110946767777094,0.8776578372648349,0.940222775600941,0.9066444473545835,0.9365943398961337,0.9144428153788405
100,0.9118568042834969,0.8843853161061723,0.9408786267169045,0.9100214663813041,0.9324973379672385,0.9159279102910233
110,0.9163885574871875,0.8847485889853561,0.9407823684750443,0.9078712386449035,0.9368618042037383,0.9173305115592459
120,0.9194851119450882,0.8826225951331416,0.9447575932400408,0.9125960225087312,0.9384544916394427,0.9195831628932888
130,0.9175407037195745,0.8944922880633791,0.94103304436154,0.9119919376832959,0.9383726011801733,0.9206861150015925

Recall Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.8203688853247795,0.7883817427385892,0.8261199696279423,0.8005644402634055,0.7741137675185491,0.8019097610946531
10,0.8540497193263833,0.8771784232365145,0.9164768413059985,0.825964252116651,0.8590272052761748,0.8665392882523444
20,0.9053728949478749,0.891286307053942,0.9415337889141989,0.8673565380997178,0.9134377576257213,0.903797457328291
30,0.9117882919005613,0.9186721991701244,0.9536826119969628,0.8842897460018815,0.9134377576257213,0.9163741213390504
40,0.9206094627105053,0.9195020746887966,0.9438116932422171,0.8871119473189087,0.9266281945589447,0.9195326745038745
50,0.9190056134723336,0.9103734439834025,0.9422930903568717,0.8880526810912511,0.9183841714756801,0.9156218000759078
60,0.9278267842822775,0.8962655601659751,0.9445709946848899,0.8993414863593603,0.9208573784006595,0.9177724407786325
70,0.9270248596631917,0.8829875518672199,0.9179954441913439,0.8946378174976481,0.9134377576257213,0.907216686169025
80,0.9198075380914194,0.8863070539419087,0.9187547456340167,0.8842897460018815,0.9332234130255564,0.9084764993389566
90,0.917401764234162,0.8846473029045643,0.9271070615034168,0.883349012229539,0.9258037922506183,0.9076617866244602
100,0.9165998396150762,0.8904564315352697,0.9240698557327259,0.8908748824082785,0.921681780708986,0.9087365580000674
110,0.921411387329591,0.891286307053942,0.9263477600607442,0.8936970837253058,0.9299258037922506,0.9125336683923667
120,0.9262229350441058,0.8887966804979253,0.9286256643887624,0.8984007525870179,0.9332234130255564,0.9150538891086736
130,0.9230152365677626,0.8954356846473029,0.9271070615034168,0.8871119473189087,0.9299258037922506,0.9125191467659283

AUC Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.6436287709001789,0.5965705266178791,0.5769207719045907,0.6404494382022472,0.6060361207420032,0.6127211256733798
10,0.755344963802583,0.8159662433634668,0.7993377681889008,0.7180917333825532,0.7700485788721083,0.7717578575219225
20,0.8454233243578788,0.8767757210503659,0.9124815214351352,0.794909212560275,0.8960255430843665,0.8651230644976042
30,0.8675650183002531,0.9191688190558187,0.940039554117224,0.8220762291488821,0.916818475642005,0.8931336192528366
40,0.8820077070669612,0.9227202611565504,0.9490191378001518,0.8250813280114435,0.9293647528941646,0.9016386373858543
50,0.8947453281952887,0.9166397618022672,0.9541132286547604,0.8407182243960963,0.9337329337329338,0.9079898953562694
60,0.9142709727350413,0.8944970584014923,0.9537236805305845,0.8548785270978013,0.9345556404379933,0.9103851758405824
70,0.9209138840070299,0.8683634667814608,0.9478604818410643,0.8403202362549893,0.9413037942449708,0.903752372625903
80,0.9334660840682995,0.882237408523461,0.9484298214071676,0.8411162125372031,0.9538696597520127,0.9118238372576286
90,0.9310636719820706,0.8798563280241067,0.954932278556874,0.8435387490482892,0.9523711582535112,0.9123524371729704
100,0.9264926395898163,0.8782196154398049,0.9542131127891645,0.8472648409201025,0.9546531899473075,0.912168679737239
110,0.9303542348559358,0.8915420074616156,0.9576591154261056,0.8444039406593915,0.9534485122720417,0.9154815621350181
120,0.9434223891907579,0.8960889295451284,0.9613548283990572,0.847489790738989,0.9536346006934242,0.9203981077134713
130,0.9405846406862192,0.9025236762806715,0.9596468097007471,0.8528078351752302,0.9522830111065405,0.9215691945898816
