Accuracy Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5629709364908504,0.6498091603053435,0.6365461847389559,0.5806451612903226,0.6581691772885284,0.6176281240228001
10,0.6620021528525296,0.6898854961832062,0.748995983935743,0.6857825567502986,0.712630359212051,0.6998593097867657
20,0.6716899892357373,0.7337786259541985,0.7700803212851406,0.7311827956989247,0.7033603707995365,0.7220184205947076
30,0.7050592034445641,0.7213740458015268,0.7751004016064257,0.7586618876941458,0.7473928157589803,0.7415176708611285
40,0.7050592034445641,0.7566793893129771,0.822289156626506,0.7168458781362007,0.7427578215527231,0.7487262898145943
50,0.7545748116254036,0.7538167938931297,0.8263052208835341,0.7192353643966547,0.7601390498261877,0.762814248124982
60,0.7761033369214209,0.7643129770992366,0.8072289156626506,0.7168458781362007,0.7752027809965237,0.7679387777632065
70,0.7707212055974165,0.7786259541984732,0.8192771084337349,0.7574671445639187,0.7670915411355735,0.7786365907858234
80,0.7793326157158235,0.791030534351145,0.8082329317269076,0.7491039426523297,0.776361529548088,0.7808123107988588
90,0.7814854682454252,0.7958015267175572,0.8052208835341366,0.7586618876941458,0.7566628041714948,0.7795665140725518
100,0.7879440258342304,0.791030534351145,0.8263052208835341,0.7598566308243727,0.7670915411355735,0.7864455906057712
110,0.8030139935414424,0.8005725190839694,0.8062248995983936,0.7813620071684588,0.7682502896871379,0.7918847418158805
120,0.8008611410118407,0.8129770992366412,0.8172690763052208,0.7825567502986858,0.7497103128621089,0.7926748759428995
130,0.8008611410118407,0.791030534351145,0.8182730923694779,0.7729988052568698,0.7740440324449595,0.7914415210868586

F1 Score Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5693656194560992,0.6731821570640896,0.6612157602982828,0.5958829292381622,0.6698651055963702,0.6339023143306008
10,0.6489046673414309,0.707775288498094,0.7539596460538488,0.6974784249510148,0.7133550840217995,0.7042946221732376
20,0.6598304485685429,0.7435082847757777,0.7639493444852246,0.7383020657611047,0.7051873072913761,0.7221554901764051
30,0.6862275969355233,0.7308991130790071,0.7706615573761187,0.7659363771906096,0.7463993248920155,0.7400247938946549
40,0.6856038016731967,0.760661442133675,0.8115513333482353,0.7213672276693,0.7403227918711882,0.7439013193391191
50,0.7413999190447699,0.7531095119268589,0.8213189690552887,0.7260543802754945,0.7523388945157473,0.7588443349636319
60,0.7631915723843853,0.7634638420042189,0.8034241920366731,0.7202687002609827,0.7692456594320897,0.76391879322367
70,0.7548576611335001,0.7759815405758669,0.8142741802935111,0.7597451165288349,0.7551024856990868,0.7719921968461599
80,0.7654743349565581,0.7866650213426847,0.809016295082923,0.7483281039051144,0.7653011582159741,0.7749569827006509
90,0.7673032676580256,0.7927127115188645,0.8048948643577157,0.7575335181803837,0.7428779755121195,0.7730644674454218
100,0.774626556031424,0.7893418742180133,0.825570836289334,0.7548102768621847,0.7555727088155999,0.7799844504433112
110,0.7910514167513839,0.7980331717448417,0.8006622024720852,0.7759465223507269,0.7588141722107958,0.7849014971059668
120,0.7883548876437232,0.8095379145847775,0.8122105600745501,0.7785836270784906,0.7390452062584975,0.7855464391280078
130,0.7907527797825431,0.7931489557906904,0.8119125142817585,0.7684376866292981,0.7654745103293711,0.7859452893627322

Precision Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5764575158859683,0.7221207650080107,0.7026459759927984,0.6162037002314207,0.689886834237291,0.6614629582710979
10,0.6395919066821819,0.7420394393450843,0.7599379861682726,0.7164500880492829,0.7141103191592885,0.714425947880822
20,0.6514721857712313,0.7583804180655326,0.7592413841166222,0.7488751810236337,0.7071998548256301,0.72503380476053
30,0.6776392858468506,0.7446465887431,0.7670516118059099,0.7782254048060738,0.7454813600952241,0.7426088502594317
40,0.6769372092579968,0.7655225097445805,0.8085102714110118,0.7269468470964957,0.7382977157790271,0.7432429106578224
50,0.7374827516846336,0.752425033059177,0.8183437453517775,0.7356113685862791,0.7487509773038357,0.7585227751971406
60,0.7614921550828535,0.7626515931650416,0.80055128802929,0.7242713565016125,0.7663280062067467,0.7630588797971088
70,0.7539818720239876,0.7737372279523685,0.8111060344973822,0.7624014099435132,0.7526803324979068,0.7707813753830316
80,0.7647129458484683,0.7835031455748056,0.8098458152745067,0.7475879324196134,0.7634234105215307,0.7738146499277849
90,0.7670658956907961,0.7902872463328994,0.8045762420195626,0.7564877341028218,0.7399872063053268,0.7716808648902813
100,0.7747678107090833,0.7878484400430965,0.8248860140214304,0.7512393771318994,0.7529872536902198,0.7783457791191459
110,0.7923896812852876,0.7959778513263237,0.796974317021171,0.7726602029411602,0.7557805116573392,0.7827565128462564
120,0.7898501080000058,0.8071115407148558,0.8089741620182733,0.775824732455476,0.7349385463527855,0.7833398179082793
130,0.7903339412590289,0.7956186790405704,0.8083759055831168,0.7652878289443426,0.762651314765045,0.7844535339184207

Recall Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5629709364908504,0.6498091603053435,0.6365461847389559,0.5806451612903226,0.6581691772885284,0.6176281240228001
10,0.6620021528525296,0.6898854961832062,0.748995983935743,0.6857825567502985,0.712630359212051,0.6998593097867657
20,0.6716899892357373,0.7337786259541985,0.7700803212851406,0.7311827956989247,0.7033603707995365,0.7220184205947076
30,0.7050592034445641,0.7213740458015268,0.7751004016064257,0.7586618876941458,0.7473928157589803,0.7415176708611285
40,0.7050592034445641,0.7566793893129771,0.822289156626506,0.7168458781362007,0.7427578215527231,0.7487262898145943
50,0.7545748116254036,0.7538167938931297,0.8263052208835341,0.7192353643966547,0.7601390498261877,0.762814248124982
60,0.7761033369214209,0.7643129770992366,0.8072289156626506,0.7168458781362007,0.7752027809965237,0.7679387777632065
70,0.7707212055974165,0.7786259541984732,0.8192771084337349,0.7574671445639187,0.7670915411355735,0.7786365907858234
80,0.7793326157158235,0.791030534351145,0.8082329317269076,0.7491039426523297,0.776361529548088,0.7808123107988588
90,0.7814854682454252,0.7958015267175572,0.8052208835341366,0.7586618876941458,0.7566628041714948,0.7795665140725518
100,0.7879440258342304,0.791030534351145,0.8263052208835341,0.7598566308243727,0.7670915411355735,0.7864455906057712
110,0.8030139935414424,0.8005725190839694,0.8062248995983936,0.7813620071684588,0.7682502896871379,0.7918847418158805
120,0.8008611410118407,0.8129770992366412,0.8172690763052208,0.7825567502986858,0.7497103128621089,0.7926748759428995
130,0.8008611410118407,0.791030534351145,0.8182730923694779,0.7729988052568698,0.7740440324449595,0.7914415210868586

AUC Table
Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.4281871974179667,0.6810836912598166,0.6539401217441715,0.5369625364540492,0.6825073568753344,0.5965361807502677
10,0.5561428538017167,0.727338806008082,0.7475139461557119,0.6984221939729306,0.737463215623328,0.6933762031123538
20,0.5873161119816639,0.7593920756347372,0.7708600770218229,0.7582517011889627,0.7352327447833066,0.7222105421220987
30,0.621132212269336,0.7567387602612651,0.7725667433729879,0.8056980483062888,0.7911650615302301,0.7494601651480216
40,0.6427982552564492,0.7828551096652858,0.8230213614287489,0.7504823151125402,0.7735955056179775,0.7545505094162004
50,0.7184905395607737,0.7457442752941774,0.8292623770283302,0.7643946758393778,0.8052401016586409,0.77262639387626
60,0.7276907874733962,0.7880982031666963,0.8350715498423478,0.7756748672698722,0.8021334938469771,0.7857337803198579
70,0.7235364969478681,0.8038071517523572,0.8445188502333727,0.8214611530696179,0.7806480738362761,0.7947943451678983
80,0.7381042870173306,0.825196330088698,0.8414959507344285,0.8257608614372243,0.768375468164794,0.799786579488495
90,0.742109479149613,0.8255063918469007,0.8346515383659778,0.828744485156659,0.7635199304440878,0.7989063649926477
100,0.751719016769184,0.8265941494904313,0.8483876883396531,0.8263216929634338,0.7623662386302834,0.803077757238597
110,0.7665236101690951,0.8310570056166926,0.8238909626544726,0.8426493681298138,0.7676063402889246,0.8063454573717997
120,0.7742650326262366,0.8373039875975297,0.8295344971397811,0.8572048156733718,0.7719703049759229,0.8140557276025685
130,0.7713883106859696,0.834981065900831,0.8269818921812793,0.8557242204441785,0.778404226859283,0.8134959432143083
