Feature Count,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average
3,0.5592,0.6282,0.6699,0.5798,0.6541,0.6183
10,0.6619,0.6853,0.7606,0.7087,0.7213,0.7076
20,0.6751,0.7540,0.7707,0.7397,0.6967,0.7272
30,0.6926,0.7557,0.7588,0.7633,0.7108,0.7362
40,0.7028,0.7827,0.8159,0.7224,0.7134,0.7474
50,0.7641,0.7601,0.8049,0.7148,0.7687,0.7625
60,0.7732,0.7874,0.8227,0.7550,0.7640,0.7805
70,0.7773,0.7708,0.8206,0.7695,0.7446,0.7766
80,0.7879,0.7931,0.8353,0.7561,0.7297,0.7804
90,0.7917,0.7818,0.8224,0.7688,0.7414,0.7812
100,0.8034,0.7864,0.8356,0.7757,0.7520,0.7906
110,0.7971,0.7735,0.8023,0.7725,0.7549,0.7801
120,0.8070,0.7784,0.8249,0.7949,0.7492,0.7909
130,0.8098,0.7735,0.8261,0.7835,0.7438,0.7874
