Feature Count,Accuracy,F1 Score,Precision,Recall,AUC
3,0.5976,0.6183,0.6569,0.5976,0.5811
10,0.6996,0.7076,0.7235,0.6996,0.7019
20,0.7254,0.7272,0.7319,0.7254,0.7133
30,0.7380,0.7362,0.7370,0.7380,0.7340
40,0.7510,0.7474,0.7459,0.7510,0.7480
50,0.7661,0.7625,0.7614,0.7661,0.7600
60,0.7830,0.7805,0.7794,0.7830,0.7807
70,0.7806,0.7766,0.7759,0.7806,0.7880
80,0.7841,0.7804,0.7803,0.7841,0.7936
90,0.7855,0.7812,0.7815,0.7855,0.7953
100,0.7943,0.7906,0.7911,0.7943,0.8062
110,0.7848,0.7801,0.7803,0.7848,0.8061
120,0.7945,0.7909,0.7912,0.7945,0.8060
130,0.7913,0.7874,0.7876,0.7913,0.8072
